Image Name,AREA_PX,PERIMETER_PX,ROUNDNESS,ROUNDNESS2,ISOTROPY,COMPACTNESS,ECCENTRICITY,RMS,SOL,[34;38;22],[90;98;58],[90;108;48],[106;113;48],[118;127;55],[128;139;60],[146;146;74],[162;163;72],[186;182;140],[190;162;130],[182;166;133],[170;144;104],[133;114;73],Lesion_segmentation,Lesion_mask
cropped0_0_mask,21372,1638.788022,0.10000218,0.895752963,0.68409436,0.483868777,0.15628744,0.353034769,14.88377316,942,420,624,6119,5736,2065,1852,1,133,60,384,1269,1767,0.09,0.07
cropped0_1_mask,20878,1924.327127,0.070850179,0.91542187,0.710704818,0.472374316,0.150004874,0.489017489,24.89898458,917,551,1015,6825,4758,799,1500,25,168,217,843,1550,1710,0.13,0.11
cropped0_2_mask,17776,1282.538239,0.135801092,0.862627109,0.383049903,0.492655618,0.19852784,0.615045083,14.23317957,807,65,2,1555,7145,1703,1549,0,7,0,317,2025,2601,0.13,0.15
cropped0_3_mask,23722,1595.439826,0.117111706,0.910778598,0.50123684,0.513185506,0.183419051,0.281982232,11.66326617,946,1830,4111,7757,3429,711,1023,9,177,42,777,1279,1631,0.1,0.11
cropped0_4_mask,22595,1689.248917,0.099502711,0.924837924,0.630535579,0.486259066,0.15107113,0.448757423,22.5623368,949,1075,3854,7300,3539,1376,1358,0,246,62,493,1008,1335,0.08,0.08
cropped0_5_mask,22830,1748.871283,0.093799405,0.908999147,0.740627778,0.462005464,0.162586798,0.580442115,22.51813403,966,1054,2224,7410,5596,1575,1349,6,167,15,365,1105,998,0.07,0.06
cropped100_0_mask,19276,1573.976839,0.097775514,0.919797966,0.794759342,0.430681234,0.152080517,0.568386239,25.05836273,910,660,875,4380,5303,2107,1752,64,341,13,452,972,1446,0.1,0.08
cropped100_1_mask,24304,1719.841846,0.103254883,0.89839469,0.745043422,0.487464399,0.152710001,0.29233027,11.08299045,895,2667,3950,6819,3663,1246,1125,0,97,79,613,1266,1884,0.08,0.09
cropped100_2_mask,22504,1731.574819,0.094316366,0.936154206,0.715242465,0.48151318,0.110816206,0.381750859,16.58909527,849,1124,3060,7140,4027,1195,1613,1,19,12,218,1413,1833,0.07,0.09
cropped100_3_mask,22839,850.3645738,0.396895916,0.93675194,0.852880346,0.743989836,0.155297686,0.590780019,12.25276939,821,0,0,0,0,506,4202,2460,1621,800,6278,6115,36,0.76,0.67
